"Product Name","Quantity Sold","Product SKU"
,58,
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",57,A8112H21
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",49,P104101
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",41,B1374L11
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",35,A1278H11
"Lightning – 1 m hvid",35,C101001
"GreyLime Power Slim – Sort – 4.000 mAh",35,P102602
"Anker Powerline Micro USB 0.9 m cable, Black",32,A8132H12
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",26,P104103
"Anker Astro E1 5200 mAh Portable Charger – Sort",26,A1211H16
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",22,B2021L11
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",17,A1311H12
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",15,A2310H12
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Sort",13,A2134L11
"GreyLime Power Stone – Grå – 10.400 mAh",13,P104102
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",13,A8121HA1
"Lightning læderkabel 1 m – sort",13,C109001
"Anker SoundBuds Bluetooth Høretelefoner, Mikrofon, Sort",11,A3233H12
"Anker Powerline Micro USB Kabel 1.8 m cable, Grå",11,A8133H11
"Lightning – 2 m Hvid",11,C101002
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",10,A2224H11
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",10,B2013L12
"Anker SoundCore Portable 4.0 Bluetooth Speaker",9,A3102H11
"USB-C 3.1 til USB 3.0 – 1 m sort",9,C108001
"GP Portable Powerbank 10.400 mAh – Sort",8,405015
"Mikro USB – 1 m Hvid",8,C103001
"Anker PowerCore+ 20100 mAh USB-C power bank",7,A1371H12
"Magnetic Lightning – 22 cm",7,C101003
"GreyLime Power Tough – Sort – 2.600 mAh",7,P101101
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",7,A2054L12
"Kabelpakke – Lightning",7,
"GP ReCyko+ 2600 mAh / AA",7,201146
"LED Cykellygter",6,LEDCLPB
"GP ReCyko+ 950 mAh / AAA",6,201149
,5,
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Silver",5,A1311H41
"Kabelpakke – Micro USB",5,
"Lightning læderkabel 1 m – hvid",5,C109101
"Høretelefoner med mikrofon og remote – Hvid",4,T102001
"Anker SoundCore Sport XL, Bluetooth højttaler & powerbank, Black",4,A3181H11
"30 pin – 1 m Hvid",4,C102001
"GreyLime Power Tough – Sølv – 5.200 mAh",4,P102501
"Mikro USB – 2 m Hvid",3,C103002
"Phoamy – The White Shot – Hvid",3,
"GP PowerBank Voyage 3000 mAh, Sort",3,405120
"GreyLime Power Solar – Blå – 8.000 mAh",3,P103304
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",3,P102301
"iPhone 6 / 6S full body cover (grå)",3,CO105004
"GP Super Alkaline AAA Batteri, 24A/LR03, 20-pak engangsbatterier",3,GP24-2VS20
"Phoamy – The Black Shot – Sort",3,
"GreyLime Power Square – Sort – 2.600 mAh",2,P101301
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Hvid",2,A2134L21
"GreyLime Power Tough – Sølv – 2.600 mAh",2,P101102
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",2,P103101
"GP ReCyko+ 1300 mAh / AA",2,201144
"GreyLime Power Solar – Grøn – 8.000 mAh",2,P103301
"Phoamy – The Business blend – Grå/Sort",2,
"GreyLime Power Owl – Happy face – 7.800 mAh",2,P103104
"GreyLime Power Stone – Grå – 5.200 mAh",2,P102302
"2.0 HDMI kabel – 5 m",2,C105002
"2.0 HDMI kabel – 2 m",2,C105001
"GP Premium rapid charger AA/AAA",2,202208
"GP Super Alkaline AA batteri, 15A/LR6, 20-pak engangsbatterier",2,GP15A-2VS20
"GreyLime Power Owl – Sortbrun – 7.800 mAh",2,P103102
"Power Poke – Hvid/rød – 6.000 mAh",2,P102701
"Phoamy – The Blue Note – Blå",2,
"Selfie-stang 78 cm – Sort",2,T101002
"Trixline LED G9 3W",2,"008 0000297"
"GP PowerBank 12000 mAh – Sort",2,405078
"Trixline LED G9 6W",2,"008 0000298"
"Trixline LED E14 4W C35",2,"008 0000238"
"GP PowerBank Yolo 2600 mAh – Hvid",1,405106
"Old Shark høretelefoner med mikrofon – Træ",1,T102003
"GreyLime Power Tough – Magenta – 5.200 mAh",1,P102503
