"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",174,P104101
"GreyLime Power Stone – Grå – 10.400 mAh",80,P104102
"Anker PowerCore 10000 mAh powerbank & Power IQ, Black",78,A1263H11
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",48,P104103
"GreyLime Power Stone – Sandfarvet – 7.800 mAh (2. SORTERING – læs beskrivelse)",47,P103503-1
"GreyLime Power Slim, Sort, 4.000 mAh (2. SORTERING – læs beskrivelse)",45,P102602-1
"Trixline LED E14 1W ST20",35,"008 0000361"
"Anker Astro E1 5200 mAh Portable Charger – Sort",32,A1211H16
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",32,A1311H12
,30,
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",29,A8121HA1
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",25,A8112H21
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",24,B1374L11
"Anker PowerCore 20100 mAh med Power IQ – Sort",24,A1271H13
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",24,A1278H11
"Anker Powerline Micro USB 0.9 m cable, Black",22,A8132H12
"Anker Powerline+ MFI Lightning, 1.8 m cable, Red",20,A8122H91
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",18,A2310H12
"Anker PowerCore mini 3350 mAh, Black",18,A1108011
"Anker PowerPort 6-port 60W & 12A USB Hub charger, Sort",17,A2123L12
"Anker 2-port USB vægoplader, 24W & 4.8A, Sort",17,A2021L11
"GreyLime Power Tough – Sort – 2.600 mAh",16,P101101
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",16,P103101
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",16,B2021L11
"Anker Powerline+ MFI Lightning, 0.9 m cable, Red",15,A8121H91
"Lightning læderkabel 1 m – hvid",15,C109101
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",15,B2013L12
"Trixline LED G9 3W",15,"008 0000297"
"Anker SoundCore Portable 4.0 Bluetooth Speaker",14,A3102H11
"GreyLime Power PL04 – Sort – 10.000 mAh",14,P104201
"Trixline LED G9 6W",14,"008 0000298"
"RAVPower Trådløs Qi Oplader, 7.5W + Quick Charge 3.0 vægoplader",13,RP-PC034
"RAVPower Extreme, 10050 mAh powerbank, Waterproof/dustproof, Black",13,RP-PB044
"Anker PowerCore+ 26800 mAh, Quick Charge 3.0, Black",12,A1374H11
"Anker Powerline+ MFI Lightning, 1.8 m cable, Space Grey",12,A8122HA1
"Phoamy – The Business blend – Grå/Sort",11,
"Anker Powerline USB-C to USB 3.0, 0.9 m cable, Black",10,A8163H11
"GreyLime Power Owl – Sortbrun – 7.800 mAh",10,P103102
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",10,A2224H11
"Lightning – 2 m Hvid",10,C101002
"Anker SoundBuds Slim Bluetooth 4.1 høretelefoner, Sort",9,A3235H11
"Anker Powerline Micro USB 1.8 m cable, Black",9,A8133H12
"Phoamy – The Granite Tone – Grå",9,
"LED Cykellygter",9,LEDCLPB
"Anker LC90, genopladelig & vandtæt lommelygte, 900 Lumen, Sort",9,T1420H11
"USB-C 3.1 til USB 3.0 – 1 m sort",9,C108001
"GreyLime Power Owl – Happy face – 7.800 mAh",8,P103104
"GreyLime Power PL04 – Hvid – 10.000 mAh",8,P104202
"Anker Astro E1 5200 mAh Portable Charger – Hvid",8,A1211H22
"Anker PowerDrive Speed 2 x Quick Charge 3.0 udgange, Sort",8,A2228H12
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",7,P102301
"Anker Powerline+ Micro USB 1.8 m cable, Space Grey",7,A8143HA1
"GP ReCyko+ 950 mAh / AAA",7,201149
"Høretelefoner med mikrofon og remote – Hvid",7,T102001
"GreyLime Power Solar – Grøn – 8.000 mAh",6,P103301
"GreyLime Power Stone – Grå – 5.200 mAh",6,P102302
"GreyLime Power Owl – Mørkeblå – 5.200 mAh",6,P102401
"Anker PowerCore+ 20100 mAh USB-C power bank",6,A1371H12
"GP PowerBank Cobra 10000 mAh, Sort",6,405144
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",5,P103501
"GreyLime Power Tough – Sølv – 2.600 mAh",5,P101102
"GP ReCyko+ 2600 mAh / AA",5,201146
"GreyLime Power Tough – Sølv – 5.200 mAh",5,P102501
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",5,A2054L12
"Trixline LED GU10 7W",5,"008 0000227"
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",5,P102201
"Anker Powerline+ Micro USB 0.9 m cable, Space Grey",5,A8142HA1
"GreyLime Power Solar – Sort – 8.000 mAh",5,P103302
"Zikko Travel adapter, EU, UK, US, CH, JP, AUST, wall charger, 4 port USB",4,BST631
"GreyLime Power Slim – Sort – 4.000 mAh",4,P102602
"GP PowerBank Voyage 3000 mAh, Guld",4,405126
"Lightning – 3 m Hvid",4,C101004
"Multikabel 3-i-1",4,C104001
"Trixline LED E27 8W A60",4,0080000374
"GreyLime Power Slim – Sølv – 4.000 mAh",4,P102601
"Trixline LED E14 8W A50",4,"008 0000255"
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Silver",4,A1311H41
"Magnetic Lightning – 22 cm",4,C101003
"GP 2,4A USB Vægoplader + 2 m Apple Lightning-kabel, Hvid",3,405132
"GP Car Charger, 3 USB Output, 6.3A & 31,5W, Black",3,405073
"GreyLime Power Stone – Grå – 7.800 mAh",3,P103502
"RAVPower Turbo, 20100 mAh USB-C powerbank, Quick Charge 2.0 & iSmart, Black",3,RP-PB043
"Lightning læderkabel 1 m – sort",3,C109001
"GP PowerBank Cobra 5000 mAh, Sort",3,405143
"GreyLime Power Tough – Lilla – 2.600 mAh",3,P101103
"Phoamy – The Urban blend – Lyserød/Blå",3,
"GP Portable Powerbank 10.400 mAh – Sort",3,405015
"Selfie-stang 78 cm – Sort",3,T101002
"2.0 HDMI kabel – 2 m",3,C105001
"Anker PowerCore 20100 mAh med Power IQ – Hvid",3,A1271H22
"Mikro USB – 2 m Hvid",2,C103002
"GreyLime Power Stone – Sandfarvet – 7.800 mAh",2,P103503
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",2,P103103
"GreyLime Power Tough – Blå – 2.600 mAh",2,P101104
"GP PowerBank Voyage 3000 mAh, Pink",2,405125
"GP PowerBank iPhone 5/5S/SE cover 2200 mAh",2,405057
"GreyLime Power Tough – Magenta – 5.200 mAh",2,P102503
"RAVPower Xtreme, 20100 mAh powerbank, AC & USB-C output, Black",2,RP-PB054
"Zikko PowerBag, 6000 mAh iPhone & iPad powerbank, MFI Lightning cable, Rose Gold",2,PB6000RG
"GreyLime Power Stone – Hvid – 5.200 mAh",2,P102303
"Skærmbeskyttelse – iPhone 6/6S/7",2,IP06
"GreyLime Power PL04 – Brun – 10.000 mAh",2,P104203
"GP Premium rapid charger AA/AAA",2,202208
"GP PowerBank Voyage 5000 mAh – Sølv",2,405089
"Anker Powerline+ USB-C to USB-C 2.0, 0.9 m cable, Space Grey",2,A8187HA1
"GP PowerBank 12000 mAh – Hvid",1,405079
"iPhone 6 Plus full body cover (sort)",1,CO105001
"Zikko PowerBag, 6000 mAh iPhone & iPad powerbank, MFI Lightning cable, Black",1,PB6000B
"RAVPower Solar Charger, 24W Solar Panel, Black",1,RP-PC005
"GP PowerBank Yolo 5200 mAh – Sort",1,405109
"Phoamy – The Vivid blend – Rød/Blå",1,
"Phoamy – The Blue Note – Blå",1,
,1,
"GreyLime Power Slim – Turkis – 4.000 mAh",1,P102603
"GP ReCyko+ 2000 Pro mAh / AA",1,201147
"Trixline LED E14 0,4W ST20",1,"008 0000252"
"GreyLime Power Stone – Grå – 2.600 mAh",1,P101502
"GreyLime Power Square – Blå – 2.600 mAh",1,P101303
"GreyLime Power Square – Grøn – 2.600 mAh",1,P101304
"30 Pin – 2 m Hvid",1,C102002
"RAVPower Xtreme, 27000 mAh powerbank, 220V AC & USB-C output, Black",1,RP-PB055
"GreyLime Power Square – Sort – 2.600 mAh",1,P101301
"GreyLime Power Tough – Turkis – 5.200 mAh",1,P102502
"eSTUFF iPhone 7 Backcover Black",1,ES80210BULK
"iPhone 6 Plus full body cover (grå)",1,CO105002
"Trixline LED E14 6W C35",1,"008 0000271"
"GreyLime Power Solar – Blå – 8.000 mAh",1,P103304
"Mikro USB – 1 m Hvid",1,C103001
"GreyLime Power Tough – Sort – 5.200 mAh",1,P102504
"Zikko PowerBag, 6000 mAh iPhone & iPad powerbank, MFI Lightning cable, Jet Black",1,PB6000JB
"GP ReCyko+ 850 Pro mAh / AAA",1,201180
"RAVPower Element, 14000 mAh powerbank, Car jump starter, Black",1,RP-PB048
"RAVPower Xtreme, 26800 mAh powerbank, iSmart, Black",1,RP-PB41
"Tribe 16GB STARWARS TFA Stormtrooper",1,FD030501
"RAVPower 6-port USB Hub Charger, 60W & 12A, Black",1,RP-PC028
"Sandberg Outdoor Powerbank 5200 mAh",1,420-22
"GP PowerBank Yolo 2600 mAh – Sort",1,405107
"Magnetic Mikro USB – 22 cm",1,C103003
"iPhone 6 / 6S plastik bumper (sort)",1,CO103003
