"Product Name","Quantity Sold","Product SKU"
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",54,A1278H11
,32,
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",26,P104101
"Lightning – 1 m hvid",25,C101001
"Anker Astro E1 5200 mAh Portable Charger – Sort",23,A1211H16
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",22,B2021L11
"Anker PowerCore 20100 mAh med Power IQ – Sort",19,A1271H13
,19,
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",17,P104103
"Høretelefoner med mikrofon og remote – Hvid",15,T102001
"GreyLime Power Owl – Mørkeblå – 5.200 mAh",14,P102401
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",14,A8112H21
"Mikro USB – 1 m Hvid",11,C103001
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",11,A2224H11
"Lightning – 2 m Hvid",11,C101002
"Kabelpakke – Lightning",8,
"Anker PowerCore 20100 mAh med Power IQ – Hvid",8,A1271H22
"Anker Astro E1 5200 mAh Portable Charger – Hvid",8,A1211H22
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",7,A2310H12
"Multikabel 3-i-1",5,C104001
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",5,P103101
"Anker PowerCore 15600 mAh med Power IQ",5,A1252H11
"USB-C 3.1 til USB 3.0 – 1 m sort",5,C108001
,4,
"Kabelpakke – Micro USB",4,
"LED Cykellygter",4,LEDCLPB
"30 pin – 1 m Hvid",4,C102001
"GreyLime Power Solar – Grøn – 8.000 mAh",3,P103301
"GreyLime Power Tough – Sort – 2.600 mAh",3,P101101
"GreyLime Power Slim – Sort – 4.000 mAh",3,P102602
,3,
,2,
"Car charger – Sort/Grå",2,C106001
"Sandberg Outdoor Powerbank 2600 mAh",2,420-21
,2,
"Skærmbeskyttelse – iPhone 5, 5c og 5s",2,IP05
"GreyLime Power PL04 – Sort – 10.000 mAh",2,P104201
"GreyLime Power Stone – Grå – 5.200 mAh",2,P102302
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",2,P102301
"Kabelpakke – 30 pin",2,
"Lightning – 3 m Hvid",2,C101004
"GreyLime Power Square – Sølv – 2.600 mAh",2,P101302
"GreyLime Power Slim – Sølv – 4.000 mAh",2,P102601
,2,
"Old Shark høretelefoner med mikrofon – Træ",2,T102003
"Magnetic Lightning – 22 cm",2,C101003
"Selfie-stang 78 cm – Pink",2,T101003
"GreyLime Power Tough – Sort – 5.200 mAh",2,P102504
"GreyLime Power Owl – Happy face – 7.800 mAh",2,P103104
"GP PowerBank Voyage 3000 mAh, Teal",1,405122
,1,
"GreyLime Power Tough – Blå – 2.600 mAh",1,P101104
"GP PowerBank Voyage 5000 mAh – Sølv",1,405089
"GreyLime Power Owl – Sortbrun – 7.800 mAh",1,P103102
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",1,P103103
"2.0 HDMI kabel – 5 m",1,C105002
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",1,P101501
"GreyLime Power Solar – Gul – 8.000 mAh",1,P103303
"GreyLime Power PL04 – Hvid – 10.000 mAh",1,P104202
"iPhone 6 / 6S lædercover (sort)",1,CO101003
"Selfie-stang 78 cm – Sort",1,T101002
"GreyLime Power Slim – Magenta – 4.000 mAh",1,P102605
"Mikro USB – 2 m Hvid",1,C103002
,1,
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",1,P103501
"GreyLime Power Solar – Sort – 8.000 mAh",1,P103302
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",1,P102201
"iPhone 6 Plus full body cover (sort)",1,CO105001
"Chill Innovation dual usb power bank – 9.000 mAh",1,P103401
"Skærmbeskyttelse – iPhone 6/6S/7",1,IP06
,1,
"iPhone 6 / 6S bagsidecover (sort)",1,CO102003
"GreyLime Power Tough – Sølv – 5.200 mAh",1,P102501
"iPhone 6 / 6S lædercover (brun)",1,CO101004
"GP PowerBank Xtreme 20000 mAh – Sort",1,405098
"2.0 HDMI kabel – 2 m",1,C105001
"GreyLime Power Square – Blå – 2.600 mAh",1,P101303
"GreyLime Power Stone – Grå – 10.400 mAh",1,P104102
"Sandberg PowerBank 10000 mAh",-1,420-34
