"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",65,P104101
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",58,B1374L11
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",50,A1278H11
,33,
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",31,P104103
"Anker Astro E1 5200 mAh Portable Charger – Sort",30,A1211H16
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",28,A1311H12
"GreyLime Power Stone – Grå – 10.400 mAh",25,P104102
"Lightning – 1 m hvid",24,C101001
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",22,B2021L11
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",21,A8112H21
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",21,A8121HA1
"Anker Powerline Micro USB 0.9 m cable, Black",20,A8132H12
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Hvid",17,A2134L21
"Lightning – 2 m Hvid",16,C101002
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",13,B2013L12
"Anker PowerCore+ 20100 mAh USB-C power bank",12,A1371H12
"GP Portable Powerbank 10.400 mAh – Sort",11,405015
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Sort",11,A2134L11
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",11,A2310H12
"Anker SoundBuds Bluetooth Høretelefoner, Mikrofon, Sort",10,A3233H12
"Kabelpakke – Lightning",10,
"Anker Powerline Micro USB Kabel 1.8 m cable, Grå",10,A8133H11
"USB-C 3.1 til USB 3.0 – 1 m sort",8,C108001
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",8,A2054L12
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Silver",8,A1311H41
"Lightning læderkabel 1 m – sort",8,C109001
"GreyLime Power Solar – Grøn – 8.000 mAh",8,P103301
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",7,A2224H11
"Lightning læderkabel 1 m – hvid",7,C109101
"Lightning – 3 m Hvid",7,C101004
"Anker SoundCore Portable 4.0 Bluetooth Speaker",6,A3102H11
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",5,P102201
"Anker Astro E1 5200 mAh Portable Charger – Hvid",4,A1211H22
"Magnetic Lightning – 22 cm",4,C101003
"GreyLime Power Tough – Sort – 2.600 mAh",4,P101101
"Trixline LED G9 6W",3,"008 0000298"
"Anker SoundCore Sport XL, Bluetooth højttaler & powerbank, Black",3,A3181H11
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",3,P101501
"GreyLime Power Solar – Blå – 8.000 mAh",3,P103304
"Phoamy – The Black Shot – Sort",3,
"GreyLime Power Tough – Rosa guld – 5.200 mAh",3,P102505
"Mikro USB – 1 m Hvid",3,C103001
"GP ReCyko+ 1300 mAh / AA",3,201144
,2,
"Trixline LED E14 0,4W ST20",2,"008 0000252"
"iPhone 6 / 6S metal bumper (sølv)",2,CO104007
"GreyLime Power Slim – Magenta – 4.000 mAh",2,P102605
"GreyLime Power Slim – Turkis – 4.000 mAh",2,P102603
"GP Premium rapid charger AA/AAA",2,202208
"GreyLime Power Stone – Grå – 5.200 mAh",2,P102302
"GreyLime Power Slim – Sort – 4.000 mAh",2,P102602
"GreyLime Power Owl – Happy face – 7.800 mAh",2,P103104
"GreyLime Power Tough – Sølv – 2.600 mAh",2,P101102
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",2,P103501
"GreyLime Power Tough – Sølv – 5.200 mAh",2,P102501
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",1,P103103
"GreyLime Power Tough – Sort – 5.200 mAh",1,P102504
"Phoamy – The Business blend – Grå/Sort",1,
"2.0 HDMI kabel – 2 m",1,C105001
"GreyLime Power Stone – Hvid – 5.200 mAh",1,P102303
"GreyLime Power Tough – Blå – 2.600 mAh",1,P101104
"iPhone 6 / 6S lædercover (brun)",1,CO101004
"Høretelefoner med mikrofon og remote – Hvid",1,T102001
"Phoamy – The Urban blend – Lyserød/Blå",1,
"Phoamy – The Vibrand blend – Rød/Hvid",1,
"GreyLime Power Stone – Grå – 2.600 mAh",1,P101502
"Trixline LED A60 9W E27 – FILAMENT",1,"008 0000353"
"GreyLime Power Slim – Sølv – 4.000 mAh",1,P102601
"Multikabel 3-i-1",1,C104001
"GP ReCyko+ 2600 mAh / AA",1,201146
"Phoamy – The Granite Tone – Grå",1,
"Phoamy – The Blue Note – Blå",1,
"GP ReCyko+ 950 mAh / AAA",1,201149
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",1,P103101
"GreyLime Power Tough – Magenta – 5.200 mAh",1,P102503
"GreyLime Power PL04 – Hvid – 10.000 mAh",1,P104202
"GreyLime Power Solar – Gul – 8.000 mAh",1,P103303
"eSTUFF iPhone 7 Backcover Black",1,ES80210BULK
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",1,P102301
"iPhone 6 Plus bagsidecover (sort)",1,CO102001
"GP ReCyko+ 650 mAh / AAA",1,201148
"iPhone 6 / 6S metal bumper (space green)",1,CO104005
"GP PowerBank Yolo 2600 mAh – Hvid",1,405106
"GreyLime Power Stone – Grå – 7.800 mAh",1,P103502
"Selfie-stang 78 cm – Blå",1,T101004
