"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",142,P104101
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",67,A1278H11
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",36,B1374L11
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",30,P104103
,25,
"GreyLime Power Stone – Grå – 10.400 mAh",22,P104102
"Anker Astro E1 5200 mAh Portable Charger – Sort",21,A1211H16
,21,
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",20,B2021L11
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",20,A8112H21
"Anker Astro E1 5200 mAh Portable Charger – Hvid",20,A1211H22
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",19,A1311H12
"Anker PowerCore+ 20100 mAh USB-C power bank",18,A1371H12
"USB-C 3.1 til USB 3.0 – 1 m sort",16,C108001
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",16,A2310H12
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",16,A8121HA1
"GP Portable Powerbank 10.400 mAh – Sort",14,405015
"Anker Powerline Micro USB 0.9 m cable, Black",13,A8132H12
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",12,B2013L12
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",12,A2224H11
"GreyLime Power Tough – Sort – 5.200 mAh",12,P102504
"Anker Powerline Micro USB Kabel 1.8 m cable, Grå",11,A8133H11
"Lightning – 1 m hvid",10,C101001
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",10,A2054L12
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Silver",9,A1311H41
"GreyLime Power Solar – Sort – 8.000 mAh",8,P103302
"Lightning – 2 m Hvid",8,C101002
"Phoamy – The White Shot – Hvid",7,
"GreyLime Power PL04 – Sort – 10.000 mAh",7,P104201
"GP ReCyko+ 950 mAh / AAA",6,201149
"Lightning læderkabel 1 m – sort",5,C109001
"GreyLime Power Tough – Sort – 2.600 mAh",5,P101101
"GP ReCyko+ 2600 mAh / AA",5,201146
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",5,P103101
"Anker SoundBuds Bluetooth Høretelefoner, Mikrofon, Sort",5,A3233H12
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Hvid",5,A2134L21
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",4,P102301
,4,
"GreyLime Power Tough – Sølv – 5.200 mAh",4,P102501
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",4,P102201
"Mikro USB – 1 m Hvid",4,C103001
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",3,P103103
"30 Pin – 2 m Hvid",3,C102002
"GreyLime Power Stone – Grå – 2.600 mAh",3,P101502
"GP PowerBank 12000 mAh – Sort",3,405078
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",3,P103501
"Phoamy – The Business blend – Grå/Sort",3,
"Kabelpakke – Lightning",3,
"Lightning læderkabel 1 m – hvid",3,C109101
"GreyLime Power Slim – Sort – 4.000 mAh",2,P102602
"Power Bank Classic XL – Gul – 5.200 mAh",2,P102106
"GreyLime Power Owl – Happy face – 7.800 mAh",2,P103104
"GreyLime Power Solar – Blå – 8.000 mAh",2,P103304
"Mikro USB – 2 m Hvid",2,C103002
"iPhone SE / 5S / 5 lædercover (brun)",2,CO101006
"Phoamy – The Black Shot – Sort",2,
"Høretelefoner med mikrofon og remote – Hvid",2,T102001
"Phoamy – The Vibrand blend – Rød/Hvid",2,
"Anker SoundCore Portable 4.0 Bluetooth Speaker",2,A3102H11
"GreyLime Power Stone – Grå – 7.800 mAh",2,P103502
"USB Stik – 16GB",1,PB00345
"GreyLime Power Tough – Sølv – 2.600 mAh",1,P101102
"Chill Innovation dual usb power bank – 9.000 mAh",1,P103401
"Phoamy – The Urban blend – Lyserød/Blå",1,
"Anker SoundCore Sport XL, Bluetooth højttaler & powerbank, Black",1,A3181H11
"Kabelpakke – 30 pin",1,
"LED Cykellygter",1,LEDCLPB
"GP Super Alkaline AAA Batteri, 24A/LR03, 20-pak engangsbatterier",1,GP24-2VS20
"GP Super Alkaline AA batteri, 15A/LR6, 20-pak engangsbatterier",1,GP15A-2VS20
"GreyLime Power Slim – Magenta – 4.000 mAh",1,P102605
"GreyLime Power Stone – Grå – 5.200 mAh",1,P102302
"GreyLime Power Stone – Sandfarvet – 7.800 mAh",1,P103503
"GP Super Alkaline AA Batteri, 15A/LR6, 12-pak engangsbatterier",1,GP15A-2VS12
"iPhone SE / 5S / 5 plastik bumper (hvid)",1,CO103006
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Sort",1,A2134L11
"GreyLime Power Square – Sølv – 2.600 mAh",1,P101302
"2.0 HDMI kabel – 2 m",1,C105001
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",1,P101501
"Car charger – Sort/Grå",1,C106001
"Phoamy – The Blue Note – Blå",1,
"30 pin – 1 m Hvid",1,C102001
"GP PowerBank Voyage 10000 mAh – Sølv",1,405090
"Skærmbeskyttelse – iPhone 5, 5c og 5s",1,IP05
"GreyLime Power PL04 – Hvid – 10.000 mAh",1,P104202
