"Product Name","Quantity Sold","Product SKU"
,60,
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",54,P104101
"Lightning – 1 m hvid",32,C101001
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",27,P104103
"Anker Astro E1 5200 mAh Portable Charger – Sort",27,A1211H16
"GreyLime Power Stone – Grå – 10.400 mAh",21,P104102
,21,
"Kabelpakke – Lightning",19,
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",13,A2310H12
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",13,A8112H21
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",13,B2021L11
"Anker Astro E1 5200 mAh Portable Charger – Hvid",13,A1211H22
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",12,A8121HA1
"Power Bank Classic XL – Gul – 5.200 mAh",12,P102106
"GreyLime Power Tough – Sort – 5.200 mAh",11,P102504
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",10,B2013L12
"USB-C 3.1 til USB 3.0 – 1 m sort",10,C108001
"Multikabel 3-i-1",10,C104001
,8,
"Lightning – 2 m Hvid",7,C101002
,7,
"Selfie-stang 78 cm – Sort",7,T101002
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",7,P102301
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",7,B1374L11
"GP Portable Powerbank 10.400 mAh – Sort",6,405015
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",5,A2054L12
"Høretelefoner med mikrofon og remote – Hvid",4,T102001
"Phoamy – The Black Shot – Sort",4,
"Magnetic Lightning – 22 cm",4,C101003
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",4,A2224H11
"GreyLime Power PL04 – Sort – 10.000 mAh",3,P104201
"GreyLime Power Stone – Grå – 5.200 mAh",3,P102302
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",3,P101501
"Lightning – 3 m Hvid",3,C101004
"GreyLime Power Solar – Sort – 8.000 mAh",3,P103302
"GreyLime Power Tough – Sølv – 5.200 mAh",3,P102501
"Magnetic Mikro USB – 22 cm",2,C103003
"Mikro USB – 1 m Hvid",2,C103001
,2,
"GP PowerBank Voyage 3000 mAh, Teal",2,405122
"30 pin – 1 m Hvid",2,C102001
"GreyLime Power Slim – Sort – 4.000 mAh",2,P102602
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",2,A1278H11
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",2,A1311H12
"Phoamy – The White Shot – Hvid",1,
"Anker PowerCore 15600 mAh med Power IQ",1,A1252H11
"Phoamy – The Granite Tone – Grå",1,
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",1,P102201
"GreyLime Power Owl – Mørkeblå – 5.200 mAh",1,P102401
"GreyLime Power Stone – Grå – 7.800 mAh",1,P103502
"GreyLime Power Tough – Sort – 2.600 mAh",1,P101101
"Sandberg Outdoor Powerbank 10400 mAh",1,420-18
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",1,P103101
"GP PowerBank Voyage 10000 mAh – Sølv",1,405090
"GP PowerBank Xtreme 20000 mAh – Sort",1,405098
"GP PowerBank Yolo 5200 mAh – Sort",1,405109
"GreyLime Power Square – Sort – 2.600 mAh",1,P101301
"GP Premium rapid charger AA/AAA",1,202208
"Selfie-stang 78 cm – Pink",1,T101003
"Skærmbeskyttelse – iPhone 6/6S/7",1,IP06
"iPhone 6 / 6S lædercover (brun)",1,CO101004
"GP PowerBank Voyage 5000 mAh – Sølv",1,405089
"30 Pin – 2 m Hvid",1,C102002
"iPhone SE / 5S / 5 plastik bumper (sort)",1,CO103005
"Phoamy – The Vibrand blend – Rød/Hvid",1,
"Mikro USB – 2 m Hvid",1,C103002
"Skærmbeskyttelse – iPad 2, 3 og 4",1,IP234
"GreyLime Power Stone – Sandfarvet – 7.800 mAh",1,P103503
"Skærmbeskyttelse – iPhone 5, 5c og 5s",1,IP05
"Kabelpakke – Micro USB",1,
"GP PowerBank Yolo 2600 mAh – Sort",1,405107
"GP PowerBank Yolo 2600 mAh – Hvid",1,405106
"GreyLime Power PL04 – Hvid – 10.000 mAh",1,P104202
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",1,P103103
"Anker PowerCore+ 20100 mAh USB-C power bank",1,A1371H12
"LED Cykellygter",1,LEDCLPB
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Silver",1,A1311H41
"Phoamy – The Business blend – Grå/Sort",1,
