"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",37,P104101
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",36,A1278H11
,35,
"Lightning – 1 m hvid",30,C101001
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",29,P104103
"Anker PowerCore 20100 mAh med Power IQ – Sort",26,A1271H13
"Anker PowerCore 15600 mAh med Power IQ",26,A1252H11
"Anker Astro E1 5200 mAh Portable Charger – Sort",25,A1211H16
,24,
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",23,B2021L11
"Høretelefoner med mikrofon og remote – Hvid",13,T102001
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",11,A8112H21
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",10,A2310H12
"GreyLime Power Stone – Grå – 10.400 mAh",10,P104102
"iPhone 6 / 6S full body cover (sort)",8,CO105003
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",7,A2224H11
"Kabelpakke – Lightning",7,
"Anker Astro E1 5200 mAh Portable Charger – Hvid",6,A1211H22
"Anker PowerCore 20100 mAh med Power IQ – Hvid",6,A1271H22
"30 Pin – 2 m Hvid",5,C102002
"GreyLime Power Owl – Mørkeblå – 5.200 mAh",4,P102401
"Kabelpakke – Micro USB",4,
"Lightning – 2 m Hvid",3,C101002
"GreyLime Power Tough – Sort – 5.200 mAh",3,P102504
"GP ReCyko+ 2600 mAh / AA",3,201146
"Mikro USB – 2 m Hvid",3,C103002
"USB-C 3.1 til USB 3.0 – 1 m sort",3,C108001
"GP PowerBank Xtreme 20000 mAh – Sort",2,405098
"30 pin – 1 m Hvid",2,C102001
"Magnetic Lightning – 22 cm",2,C101003
"GreyLime Power Solar – Grøn – 8.000 mAh",2,P103301
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",2,P103101
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",2,P102301
"iPhone SE / 5S / 5 bagsidecover (sort)",2,CO102005
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",2,P102201
"GP ReCyko+ 1300 mAh / AA",2,201144
"GP ReCyko+ 650 mAh / AAA",2,201148
"iPhone 6 Plus full body cover (sort)",2,CO105001
"Skærmbeskyttelse – iPhone 5, 5c og 5s",2,IP05
"Old Shark høretelefoner med mikrofon – Træ",1,T102003
"GreyLime Power Slim – Magenta – 4.000 mAh",1,P102605
"GreyLime Power Slim – Turkis – 4.000 mAh",1,P102603
"GreyLime Power Tough – Sølv – 5.200 mAh",1,P102501
"Selfie-stang 78 cm – Blå",1,T101004
"Sandberg Outdoor Powerbank 2600 mAh",1,420-21
"Car charger – Sort/Grå",1,C106001
"Mikro USB – 1 m Hvid",1,C103001
"eSTUFF iPhone 7 Backcover Black",1,ES80210BULK
"iPhone 6 / 6S bagsidecover (sort)",1,CO102003
"GP ReCyko+ 950 mAh / AAA",1,201149
"GreyLime Power Stone – Sandfarvet – 7.800 mAh",1,P103503
"GP PowerBank 12000 mAh – Sort",1,405078
"iPhone 6 / 6S lædercover (sort)",1,CO101003
"Multikabel 3-i-1",1,C104001
"Tribe 16GB Minion Stuart",1,FD021508
"GreyLime Power Solar – Sort – 8.000 mAh",1,P103302
"GreyLime Power Stone – Grå – 5.200 mAh",1,P102302
"Xtorm Power Station 12",1,BU103
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",1,P103103
"GreyLime Power Square – Blå – 2.600 mAh",1,P101303
"GreyLime Power Tough – Lilla – 2.600 mAh",1,P101103
"GreyLime Power Tough – Blå – 2.600 mAh",1,P101104
"iPhone SE / 5S / 5 lædercover (brun)",1,CO101006
"GP Portable Powerbank 10.400 mAh – Sort",1,405015
"Selfie-stang 78 cm – Sort",1,T101002
"GreyLime Power PL04 – Sort – 10.000 mAh",1,P104201
"GreyLime Power Slim – Sølv – 4.000 mAh",1,P102601
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",1,P103501
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",1,P101501
"LED Cykellygter",1,LEDCLPB
"Power Poke – Hvid/rød – 6.000 mAh",1,P102701
"GreyLime Power Stone – Hvid – 5.200 mAh",1,P102303
