"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Grå – 10.400 mAh",120,P104102
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",68,P104101
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",39,A1278H11
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",39,A8121HA1
"Kabelpakke – Lightning",37,
"Lightning – 2 m Hvid",31,C101002
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",31,A1311H12
"GreyLime Power PL04 – Sort – 10.000 mAh",30,P104201
"Trixline LED G9 6W",29,"008 0000298"
"GreyLime Power Tough – Sort – 2.600 mAh",28,P101101
"Lightning – 1 m hvid",25,C101001
,25,
"GreyLime Power Owl – Sortbrun – 7.800 mAh",25,P103102
"Anker Powerline Micro USB 0.9 m cable, Black",23,A8132H12
"GreyLime Power Stone – Grå – 7.800 mAh",23,P103502
"Anker Astro E1 5200 mAh Portable Charger – Sort",22,A1211H16
"GreyLime Power Slim, Sort, 4.000 mAh (2. SORTERING – læs beskrivelse)",21,P102602-1
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",21,P103501
"Trixline LED GU10 4W",20,"008 0000260"
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",18,B1374L11
"GreyLime Power Stone – Sandfarvet – 7.800 mAh (2. SORTERING – læs beskrivelse)",18,P103503-1
"LED Cykellygter",17,LEDCLPB
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",16,A2054L12
"Lightning læderkabel 1 m – hvid",15,C109101
"Anker PowerCore 10000 mAh powerbank & Power IQ, Black",15,A1263H11
"Anker PowerCore 20100 mAh med Power IQ – Sort",15,A1271H13
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",15,A8112H21
"Magnetic Lightning – 22 cm",15,C101003
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",13,B2013L12
"Anker PowerCore mini 3350 mAh, Black",13,A1108011
"Anker Powerline+ MFI Lightning, 1.8 m cable, Space Grey",12,A8122HA1
"GreyLime Power PL04 – Hvid – 10.000 mAh",11,P104202
"Phoamy – The Business blend – Grå/Sort",11,
"Anker PowerPort 6-port 60W & 12A USB Hub charger, Sort",11,A2123L12
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",11,P104103
"Anker SoundCore Portable 4.0 Bluetooth Speaker",10,A3102H11
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",10,B2021L11
"GP PowerBank Cobra 2500 mAh, Sort",10,405142
"Trixline LED G9 3W",10,"008 0000297"
"Lightning læderkabel 1 m – sort",9,C109001
"Anker Astro E1 5200 mAh Portable Charger – Hvid",9,A1211H22
"USB-C 3.1 til USB 3.0 – 1 m sort",9,C108001
"Anker PowerCore+ 20100 mAh USB-C power bank",9,A1371H12
"Anker 2-port USB vægoplader, 24W & 4.8A, Sort",8,A2021L11
"Anker Powerline+ MFI Lightning, 0.9 m cable, Red",8,A8121H91
"Anker Powerline Micro USB 1.8 m cable, Black",8,A8133H12
