"Product Name","Quantity Sold","Product SKU"
"LED Cykellygter",56,LEDCLPB
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",41,P104101
,41,
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",34,A8112H21
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",29,A1278H11
"Anker Astro E1 5200 mAh Portable Charger – Sort",23,A1211H16
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",20,B1374L11
"Lightning – 1 m hvid",20,C101001
"Trixline LED G9 6W",17,"008 0000298"
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",15,A8121HA1
"Trixline LED GU10 4W",15,"008 0000260"
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",9,B2021L11
"Anker Powerline Micro USB 1.8 m cable, Black",9,A8133H12
"GreyLime Power Stone – Grå – 10.400 mAh",8,P104102
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",8,A1311H12
"Trixline LED GU10 7W",8,"008 0000227"
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",7,B2013L12
"GreyLime Power Owl – Mørkeblå – 5.200 mAh",7,P102401
"GP ReCyko+ 950 mAh / AAA",7,201149
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",6,P104103
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",6,A2054L12
"Anker Powerline Micro USB 0.9 m cable, Black",6,A8132H12
"Høretelefoner med mikrofon og remote – Hvid",6,T102001
"Lightning læderkabel 1 m – sort",6,C109001
"GreyLime Power Owl – Happy face – 7.800 mAh",5,P103104
"Lightning – 2 m Hvid",5,C101002
"Anker PowerPort Speed Lite 5-port USB charger, Power IQ, Sort",5,A2134L11
"30 pin – 1 m Hvid",5,C102001
"Anker PowerCore 10000 mAh powerbank & Power IQ, Black",5,A1263H11
"Anker Powerline+ MFI Lightning, 0.9 m cable, Red",5,A8121H91
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",4,A2224H11
"Anker PowerCore 20100 mAh med Power IQ – Sort",4,A1271H13
"Magnetic Lightning – 22 cm",3,C101003
,3,
"Phoamy – The Business blend – Grå/Sort",3,
"RAVPower Xtreme, 27000 mAh powerbank, 220V AC & USB-C output, Black",3,RP-PB055
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",3,P101501
"GreyLime Power Slim – Sort – 4.000 mAh",3,P102602
"GreyLime Power Tough – Sort – 2.600 mAh",3,P101101
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Silver",3,A1311H41
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",3,A2310H12
"iPhone SE / 5S / 5 plastik bumper (hvid)",3,CO103006
"GP PowerBank Cobra 2500 mAh, Sort",3,405142
"Anker Powerline USB-C to USB 3.0, 0.9 m cable, Black",3,A8163H11
"30 Pin – 2 m Hvid",3,C102002
"GreyLime Power Tough – Sølv – 5.200 mAh",3,P102501
"GP ReCyko+ 2600 mAh / AA",2,201146
"Anker SoundCore Portable 4.0 Bluetooth Speaker",2,A3102H11
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",2,P103103
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",2,P102301
"Phoamy – The Urban blend – Lyserød/Blå",2,
"RAVPower Extreme, 10050 mAh powerbank, Waterproof/dustproof, Black",2,RP-PB044
"Anker PowerCore+ 20100 mAh USB-C power bank",2,A1371H12
"Kabelpakke – Lightning",2,
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",2,P102201
"Trixline LED E14 8W A50",2,"008 0000255"
"USB-C 3.1 til USB 3.0 – 1 m sort",2,C108001
"Anker Powerline Micro USB Kabel 1.8 m cable, Grå",2,A8133H11
"GP Premium rapid charger AA/AAA",2,202208
"GP ReCyko+ 650 mAh / AAA",2,201148
"Power Poke – Hvid/rød – 6.000 mAh",2,P102701
"Trixline LED G9 3W",2,"008 0000297"
"GreyLime Power Stone – Grå – 5.200 mAh",2,P102302
"Lightning – 3 m Hvid",2,C101004
"Phoamy – The White Shot – Hvid",2,
"GP PowerBank Cobra 10000 mAh, Sort",2,405144
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",2,P103101
"Anker Astro E1 5200 mAh Portable Charger – Hvid",2,A1211H22
"GP Portable Powerbank 10.400 mAh – Sort",2,405015
"Phoamy – The Granite Tone – Grå",1,
"GP Super Alkaline AA batteri, 15A/LR6, 20-pak engangsbatterier",1,GP15A-2VS20
"GP Super Alkaline AAA batteri, 24A/LR03, 12-pak engangsbatterier",1,GP24A-2VS12
"GP LED Classic E27 12W-75W",1,077978-LDCE1
"GreyLime Power Solar – Gul – 8.000 mAh",1,P103303
"GreyLime Power Slim – Turkis – 4.000 mAh",1,P102603
"GreyLime Power Stone – Grå – 2.600 mAh",1,P101502
"GreyLime Power PL04 – Sort – 10.000 mAh",1,P104201
"GreyLime Power Stone – Grå – 7.800 mAh",1,P103502
"Phoamy – The Blue Note – Blå",1,
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",1,P103501
"GP PowerBank Voyage 3000 mAh, Teal",1,405122
"RAVPower Xtreme, 26800 mAh powerbank, iSmart, Black",1,RP-PB41
"Trixline LED E14 0,4W ST20",1,"008 0000252"
"RAVPower 6-port USB Hub Charger, 60W & 12A, Black",1,RP-PC028
"GreyLime Power Tough – Sort – 5.200 mAh",1,P102504
"Selfie-stang 78 cm – Sort",1,T101002
"GreyLime Power Tough – Lilla – 2.600 mAh",1,P101103
"GreyLime Power Slim – Sølv – 4.000 mAh",1,P102601
"Anker 2-port USB vægoplader, 24W & 4.8A, Sort",1,A2021L11
"GreyLime Power Owl – Sortbrun – 7.800 mAh",1,P103102
"Anker LC90, genopladelig & vandtæt lommelygte, 900 Lumen, Sort",1,T1420H11
"iPhone 6 / 6S lædercover (brun)",1,CO101004
"GP PowerBank Cobra 5000 mAh, Sort",1,405143
"Sandberg Outdoor Powerbank 10400 mAh",1,420-18
"Lightning læderkabel 1 m – hvid",1,C109101
"GreyLime Power Stone – Hvid – 2.600 mAh",1,P101503
"Multikabel 3-i-1",1,C104001
"Zikko PowerBag, 6000 mAh iPhone & iPad powerbank, MFI Lightning cable, Black",1,PB6000B
"RAVPower Xtreme, 20100 mAh powerbank, AC & USB-C output, Black",1,RP-PB054
"Phoamy – The Vivid blend – Rød/Blå",1,
"Trixline LED E14 1W ST20",-5,"008 0000361"
"Trixline LED E27 15W A60",-14,"008 0000277"
