"Product Name","Quantity Sold","Product SKU"
,47,
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",44,P104101
"Anker Astro E1 5200 mAh Portable Charger – Sort",34,A1211H16
,23,
"Anker PowerCore 20100 mAh med Power IQ – Hvid",22,A1271H22
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",20,P104103
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",19,B2021L11
"Lightning – 1 m hvid",18,C101001
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",15,A1278H11
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",14,A8112H21
"Lightning – 2 m Hvid",14,C101002
"GreyLime Power Stone – Grå – 10.400 mAh",14,P104102
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",14,A2310H12
"GreyLime Power Slim – Sort – 4.000 mAh",13,P102602
"GreyLime Power Square – Sølv – 2.600 mAh",13,P101302
"GreyLime Power Tough – Sort – 5.200 mAh",9,P102504
"Anker Powerline Micro USB 0.9 m cable, Black",9,A8132H12
"Kabelpakke – Lightning",8,
"USB-C 3.1 til USB 3.0 – 1 m sort",7,C108001
"Lightning – 3 m Hvid",6,C101004
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",6,P103501
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",6,A8121HA1
"GreyLime Power Tough – Sølv – 5.200 mAh",5,P102501
"Anker Astro E1 5200 mAh Portable Charger – Hvid",5,A1211H22
"Kabelpakke – Micro USB",4,
"Skærmbeskyttelse – iPhone 6/6S/7",4,IP06
"Sandberg PowerBank 10000 mAh",4,420-34
"GreyLime Power Stone – Grå – 7.800 mAh",3,P103502
"GreyLime Power Tough – Sort – 2.600 mAh",3,P101101
,3,
"Anker PowerCore 15600 mAh med Power IQ",3,A1252H11
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",3,A2224H11
"GreyLime Power Stone – Grå – 2.600 mAh",3,P101502
"Selfie-stang 78 cm – Sort",3,T101002
"GreyLime Power Solar – Sort – 8.000 mAh",2,P103302
"GP Portable Powerbank 10.400 mAh – Sort",2,405015
"iPhone 6 / 6S metal bumper (sølv)",2,CO104007
"GP PowerBank Xtreme 20000 mAh – Sort",2,405098
"iPhone 6 / 6S bagsidecover (hvid)",2,CO102004
"Multikabel 3-i-1",2,C104001
"Power Bank Classic XL – Gul – 5.200 mAh",2,P102106
"GP PowerBank Voyage 10000 mAh – Sølv",2,405090
"Anker PowerCore 20100 mAh med Power IQ – Sort",2,A1271H13
"Mikro USB – 2 m Hvid",2,C103002
"GreyLime Power Owl – Sortbrun – 7.800 mAh",2,P103102
"GreyLime Power Square – Sort – 2.600 mAh",2,P101301
"GreyLime Power Solar – Blå – 8.000 mAh",2,P103304
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",2,P103101
"GreyLime Power Owl – Happy face – 7.800 mAh",2,P103104
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",2,A2054L12
"GP ReCyko+ 2600 mAh / AA",2,201146
"Mikro USB – 1 m Hvid",2,C103001
"GreyLime Power Stone – Grå – 5.200 mAh",1,P102302
"GreyLime Power Solar – Grøn – 8.000 mAh",1,P103301
"LED Cykellygter",1,LEDCLPB
,1,
"Høretelefoner med mikrofon og remote – Hvid",1,T102001
"GreyLime Power Slim – Sølv – 4.000 mAh",1,P102601
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",1,P103103
"Magnetic Lightning – 22 cm",1,C101003
,1,
"Old Shark høretelefoner med mikrofon – Træ",1,T102003
,1,
"Selfie-stang 78 cm – Blå",1,T101004
"GreyLime Power Owl – Mørkeblå – 5.200 mAh",1,P102401
"iPhone 6 / 6S full body cover (sort)",1,CO105003
"GreyLime Power PL04 – Sort – 10.000 mAh",1,P104201
"GreyLime Power PL04 – Brun – 10.000 mAh",1,P104203
,1,
"GreyLime Power Stone – Hvid – 5.200 mAh",1,P102303
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",1,P102301
"Selfie-stang 78 cm – Pink",1,T101003
"GreyLime Power Tough – Sølv – 2.600 mAh",1,P101102
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",1,P101501
"Kabelpakke – 30 pin",1,
