"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",69,P104101
,54,
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",49,A1278H11
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",44,P104103
"GreyLime Power Owl – Mørkeblå – 5.200 mAh",43,P102401
"Lightning – 1 m hvid",32,C101001
"Anker Astro E1 5200 mAh Portable Charger – Sort",31,A1211H16
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",29,B2021L11
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",28,A8112H21
"Anker PowerCore 20100 mAh med Power IQ – Sort",28,A1271H13
"Lightning – 2 m Hvid",27,C101002
,20,
"Kabelpakke – Lightning",18,
"Selfie-stang 78 cm – Sort",17,T101002
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",16,A2224H11
"GreyLime Power Stone – Grå – 10.400 mAh",16,P104102
"Anker PowerCore 20100 mAh med Power IQ – Hvid",12,A1271H22
"Anker Astro E1 5200 mAh Portable Charger – Hvid",12,A1211H22
"USB-C 3.1 til USB 3.0 – 1 m sort",11,C108001
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",10,A2310H12
"Lightning – 3 m Hvid",9,C101004
,9,
"GreyLime Power Slim – Sort – 4.000 mAh",9,P102602
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",8,P103101
"Anker PowerCore 15600 mAh med Power IQ",7,A1252H11
"LED Cykellygter",7,LEDCLPB
,6,
"GreyLime Power Owl – Sandfarvet – 7.800 mAh",6,P103103
"Høretelefoner med mikrofon og remote – Hvid",6,T102001
"Skærmbeskyttelse – iPhone 6/6S/7",5,IP06
"Kabelpakke – 30 pin",5,
"30 Pin – 2 m Hvid",5,C102002
"Mikro USB – 1 m Hvid",5,C103001
"GreyLime Power Tough – Sort – 2.600 mAh",5,P101101
,4,
"Magnetic Lightning – 22 cm",4,C101003
"30 pin – 1 m Hvid",4,C102001
"GreyLime Power Owl – Happy face – 7.800 mAh",4,P103104
"GreyLime Power PL04 – Sort – 10.000 mAh",4,P104201
,3,
"GreyLime Power Solar – Grøn – 8.000 mAh",3,P103301
"Mikro USB – 2 m Hvid",3,C103002
"Kabelpakke – Micro USB",3,
"Multikabel 3-i-1",3,C104001
,3,
,3,
,3,
,2,
"GreyLime Power Stone – Grå – 5.200 mAh",2,P102302
"Skærmbeskyttelse – iPhone 5, 5c og 5s",2,IP05
"Magnetic Mikro USB – 22 cm",2,C103003
"USB Stik – 16GB",2,PB00345
"GreyLime Power Owl – Sortbrun – 7.800 mAh",2,P103102
"GP PowerBank Voyage 3000 mAh, Teal",2,405122
,2,
"Power Poke – Hvid/rød – 6.000 mAh",2,P102701
"GP PowerBank Voyage 5000 mAh – Sølv",2,405089
"GreyLime Power Stone – Mørkeblå – 2.600 mAh",2,P101501
"GreyLime Power Solar – Gul – 8.000 mAh",2,P103303
"GreyLime Power Slim – Sølv – 4.000 mAh",2,P102601
"Skærmbeskyttelse – iPad Air 1 og 2",2,IPA12
"GreyLime Power Tough – Sort – 5.200 mAh",2,P102504
"GreyLime Power Tough – Sølv – 2.600 mAh",1,P101102
"2.0 HDMI kabel – 2 m",1,C105001
"Micro SD kort – 32GB",1,
"Magnetic 30 Pin – 22 cm Hvid",1,C102003
"GreyLime Power Stone – Mørkeblå – 5.200 mAh",1,P102301
"iPhone SE / 5S / 5 lædercover (brun)",1,CO101006
"GreyLime Power Stone – Hvid – 2.600 mAh",1,P101503
"Sandberg PowerBank 10000 mAh",1,420-34
"GP PowerBank Xtreme 20000 mAh – Sort",1,405098
"GreyLime Power Square – Blå – 2.600 mAh",1,P101303
"iPhone 6 / 6S lædercover (sort)",1,CO101003
"GreyLime Power Tough – Turkis – 5.200 mAh",1,P102502
"Skærmbeskyttelse – iPhone 6 Plus",1,IP06P
"iPhone SE / 5S / 5 bagsidecover (sort)",1,CO102005
"GreyLime Power Solar – Sort – 8.000 mAh",1,P103302
"GreyLime Power Tough – Sølv – 5.200 mAh",1,P102501
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",1,P103501
"Power Bank Classic XL – Gul – 5.200 mAh",1,P102106
"iPhone 6 / 6S full body cover (grå)",1,CO105004
,1,
"Phoamy – The Urban blend – Lyserød/Blå",1,
"Selfie-stang 78 cm – Pink",1,T101003
"Selfie-stang 78 cm – Blå",1,T101004
"Power Speaker – Bluetooth højtaler og power bank med 5.200 mAh",1,P102201
"GreyLime Power Stone – Grå – 7.800 mAh",0,P103502
"GreyLime Power Slim – Magenta – 4.000 mAh",0,P102605
"Skærmbeskyttelse – Samsung Galaxy S5",0,SG05S
