"Product Name","Quantity Sold","Product SKU"
"GreyLime Power Stone – Mørkeblå – 10.400 mAh",387,P104101
"GreyLime Power Stone – Grå – 10.400 mAh",345,P104102
"Trixline LED G9 6W",157,"008 0000298"
"Anker Powerline+ MFI Lightning, 0.9 m cable, Space Grey",154,A8121HA1
"Anker PowerCore 10000 mAh powerbank & Power IQ, Black",150,A1263H11
"Anker Powerline MFI Lightning, 1.8 m kabel, Hvid",149,A8112H21
"Anker Powerline MFI Lightning, 0.9 m kabel, Hvid",149,A8111H21
"Anker Powerline Micro USB 0.9 m cable, Black",132,A8132H12
"Anker PowerCore Speed 20000 mAh, Quick Charge 3.0 input & output, Sort",128,A1278H11
"Anker Astro E1 5200 mAh Portable Charger – Sort",122,A1211H16
"GreyLime Power Stone – Sandfarvet – 10.400 mAh",120,P104103
"Anker PowerCore+ 10050 mAh Quick Charge 3.0 Black",111,A1311H12
"Anker PowerCore 20100 mAh med Power IQ – Sort",101,A1271H13
"Anker PowerCore+ 26800 mAh Quick Charge 3.0 & PowerPort+ 1",97,B1374L11
"LED Cykellygter",93,LEDCLPB
"Anker PowerPort+ 1 Quick Charge 3.0 & Micro USB cable",87,B2013L12
"Lightning – 2 m Hvid",85,C101002
"Anker 24W 2-port USB Charger inkl. micro usb kabel – Sort",82,B2021L11
"GreyLime Power PL04 – Sort – 10.000 mAh",68,P104201
"GreyLime Power Slim, Sort, 4.000 mAh (2. SORTERING – læs beskrivelse)",66,P102602-1
"GreyLime Power Stone – Sandfarvet – 7.800 mAh (2. SORTERING – læs beskrivelse)",65,P103503-1
"GreyLime Power Tough – Sort – 2.600 mAh",64,P101101
"Anker PowerCore mini 3350 mAh, Black",59,A1108011
"Anker Powerline Micro USB 1.8 m cable, Black",57,A8133H12
"Anker PowerPort Speed 5-port USB charger 2 x quick charge",53,A2054L12
"Anker 2-port USB vægoplader, 24W & 4.8A, Sort",53,A2021L11
"Anker PowerPort 6-port 60W & 12A USB Hub charger, Sort",52,A2123L12
"Anker PowerDrive 2 24W 2-Port Car Charger – Sort",51,A2310H12
"Trixline LED GU10 4W",50,"008 0000260"
"Anker Powerline+ MFI Lightning, 0.9 m cable, Red",50,A8121H91
"Anker Powerline+ MFI Lightning, 1.8 m cable, Space Grey",50,A8122HA1
"Trixline LED E14 8W A50",48,"008 0000255"
"Trixline LED E14 1W ST20",48,"008 0000361"
"GreyLime Power Owl – Sortbrun – 7.800 mAh",47,P103102
"Trixline LED G9 3W",46,"008 0000297"
"Anker Powerline+ MFI Lightning, 1.8 m cable, Red",46,A8122H91
"Lightning – 1 m hvid",45,C101001
"Anker Powerline USB-C to USB 3.0, 0.9 m cable, Black",41,A8163H11
"Magnetic Lightning – 22 cm",39,C101003
"Kabelpakke – Lightning",39,
"Lightning læderkabel 1 m – hvid",37,C109101
"Anker Powerline+ Micro USB 1.8 m cable, Space Grey",36,A8143HA1
"Anker PowerCore+ 20100 mAh USB-C power bank",35,A1371H12
"USB-C 3.1 til USB 3.0 – 1 m sort",33,C108001
"GreyLime Power PL04 – Hvid – 10.000 mAh",33,P104202
"RAVPower Extreme, 10050 mAh powerbank, Waterproof/dustproof, Black",32,RP-PB044
"Anker SoundCore Portable 4.0 Bluetooth Speaker",31,A3102H11
"Phoamy – The Business blend – Grå/Sort",30,
"Trixline LED GU10 7W",30,"008 0000227"
"GreyLime Power Stone – Grå – 7.800 mAh",29,P103502
"GreyLime Power Stone – Mørkeblå – 7.800 mAh",29,P103501
"GP PowerBank Cobra 10000 mAh, Sort",29,405144
"RAVPower Trådløs Qi Oplader, 7.5W + Quick Charge 3.0 vægoplader",28,RP-PC034
"GP ReCyko+ 2600 mAh / AA",27,201146
"Anker Powerline+ Micro USB 0.9 m cable, Space Grey",27,A8142HA1
"Anker PowerDrive Speed 2 x Quick Charge 3.0 udgange, Sort",27,A2228H12
"GreyLime Power Owl – Happy face – 7.800 mAh",25,P103104
"GreyLime Power Owl – Mørkeblå – 7.800 mAh",25,P103101
"Anker SoundBuds Slim Bluetooth 4.1 høretelefoner, Sort",25,A3235H11
"GreyLime Power Slim – Sort – 4.000 mAh",24,P102602
"Høretelefoner med mikrofon og remote – Hvid",24,T102001
"GP Super Alkaline AAA batteri, 24A/LR03, 12-pak engangsbatterier",22,GP24A-2VS12
"Lightning læderkabel 1 m – sort",22,C109001
"Anker LC90, genopladelig & vandtæt lommelygte, 900 Lumen, Sort",22,T1420H11
"Multikabel 3-i-1",22,C104001
"Anker PowerDrive+ 2 med Quick Charge 3.0 Car Charger",21,A2224H11
"Anker Astro E1 5200 mAh Portable Charger – Hvid",21,A1211H22
